Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"U137, U55",2,soic-8-small,soic-8-small,,,,smt,
"U14, U26",2,HD151015,SSOP-24_5.3x8.2mm_P0.65mm,,,,smt,9 bit Level Shifter/Transceiver With 3 State Outputs
U17,1,YM3812,SOP-24,,,,smt,
"U19, U30",2,RAMchip,RAMchip,,,,smt,
U2,1,VL82C420,BGA-256,,,,smt,
U21,1,GPU DRAM,GRAMchip,,,,smt,
U23,1,CHIPS65535,BGA-169,,,,smt,
U25,1,RB5C396,BGA-256,,,,smt,
U27,1,FDC,FDC,,,,smt,
"U28, U9",2,SN74LVT125,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,ABT QUADRUPLE BUS BUFFER WITH 3STATE OUTPUTS
"U29, U3",2,7W126,sso-8,,,,smt,
U31,1,M38813M4,QFN64,,,,smt,Keyboard controller
U33,1,Y3014,SOP-16,,,,smt,
U34,1,D17137AGT,SSOP-28,,,,smt,Trackpad Controller
U35,1,SanDisk,SanDisk,,,,smt,
U36,1,Flash-32,Flash-32,,,,smt,
U37,1,QFN-100,QFN-100,,,,smt,
"U39, U54",2,SN74LV32,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,Quadruple 2-Input Positive-Or Gates
U40,1,SN74LV08,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U41,1,SN74LV02,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,Quadruple 2-Input Positive-NOR Gates
U42,1,QFN-52,QFN-52,,,,smt,
U43,1,LM4861,SOIC-8-narrow,,,,smt,Audio Amp
U44,1,DS1669,SOIC-8,,,,smt,Digital Rheostat
U45,1,3414A,SOIC-8,,,,smt,
U48,1,QFN-80,QFN-80,,,,smt,
U5,1,Bowman,Bowman,,,,smt,
U50,1,Front LCD,LCD,,,,tht,
U51,1,SOP48,SOP48,,,,smt,
U52,1,IRDA,IRDA,,,,smt,
U53,1,SN74LS74a,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U56,1,Pluto,Pluto,,,,smt,
U6,1,28F200BX,Flash-40,,,,smt,
U61,1,VT74,TSSOP-14_4.4x5mm_P0.65mm,,,,smt,
U67,1,SN74LS123A,TSSOP-16_4.4x5mm_P0.65mm,,,,smt,
U7,1,7W32,sso-8,,,,smt,
U77,1,HD151015,TSSOP-24_6.1x7.8mm_P0.65mm,,,,smt,
U8,1,SN74LVT244B,TSSOP-20_4.4x6.5mm_P0.65mm,,,,smt,ABT OCTAL BUFFER/DRIVER
U8,1,AV9154A-27,SOIC-16W,,,,smt,
X1,1,"32,768MHz",XTAL-3,,,,smt,
X2,1,14.318MHz,XTAL-6,,,,smt,
X3,1,XTAL-5,XTAL-5,,,,smt,
X4,1,XTAL-4,XTAL-4,,,,smt,
X5,1,XTAL-1,XTAL-1,,,,smt,
X6,1,XTAL-2,XTAL-2,,,,smt,
