pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
164.4,-103.8,180.0,bottom,C254,,,C_0402_1005Metric,C_0402_1005Metric,smt
165.89,-101.38,90.0,bottom,C255,,,C_0603_1608Metric,C_0603_1608Metric,smt
176.73,-106.6,90.0,bottom,C256,,,C_0402_1005Metric,C_0402_1005Metric,smt
184.37,-108.66,90.0,bottom,C258,,,C_0402_1005Metric,C_0402_1005Metric,smt
192.33,-103.75,-90.0,bottom,C259,,,C_0603_1608Metric,C_0603_1608Metric,smt
195.31,-103.47,90.0,bottom,C260,,,C_0402_1005Metric,C_0402_1005Metric,smt
197.03,-102.83,90.0,bottom,C261,,,C_0402_1005Metric,C_0402_1005Metric,smt
198.89,-102.83,90.0,bottom,C262,,,C_0402_1005Metric,C_0402_1005Metric,smt
165.17,-117.59,-90.0,bottom,C263,,,C_0603_1608Metric,C_0603_1608Metric,smt
173.97,-115.16,180.0,bottom,C264,,,C_0402_1005Metric,C_0402_1005Metric,smt
165.17,-122.06,-90.0,bottom,C265,,,C_0402_1005Metric,C_0402_1005Metric,smt
166.25,-122.06,90.0,bottom,C266,,,C_0402_1005Metric,C_0402_1005Metric,smt
177.62,-127.23,180.0,bottom,C269,,,C_0402_1005Metric,C_0402_1005Metric,smt
184.96,-134.57,180.0,bottom,C270,,,C_0402_1005Metric,C_0402_1005Metric,smt
185.37,-129.92,-90.0,bottom,C271,,,C_0402_1005Metric,C_0402_1005Metric,smt
181.72,-126.55,180.0,bottom,C272,,,C_0402_1005Metric,C_0402_1005Metric,smt
191.145,-122.28,180.0,bottom,C273,,,C_0402_1005Metric,C_0402_1005Metric,smt
200.72,-124.71,180.0,bottom,C274,,,C_0402_1005Metric,C_0402_1005Metric,smt
200.71,-123.58,180.0,bottom,C275,,,C_0402_1005Metric,DNP,smt
193.55,-113.0,0.0,bottom,C276,,,C_0402_1005Metric,C_0402_1005Metric,smt
204.99,-102.21,180.0,bottom,C277,,,C_0402_1005Metric,C_0402_1005Metric,smt
211.81,-105.22,90.0,bottom,C278,,,C_0603_1608Metric,C_0603_1608Metric,smt
200.7,-111.08,-90.0,bottom,C279,,,C_0402_1005Metric,C_0402_1005Metric,smt
202.53,-115.93,180.0,bottom,C280,,,C_0402_1005Metric,C_0402_1005Metric,smt
207.575,-127.03,180.0,bottom,C281,,,C_0402_1005Metric,C_0402_1005Metric,smt
210.44,-127.03,180.0,bottom,C282,,,C_0402_1005Metric,C_0402_1005Metric,smt
215.62,-128.49,180.0,bottom,C284,,,C_0402_1005Metric,C_0402_1005Metric,smt
205.49,-133.26,-90.0,bottom,C285,,,C_0402_1005Metric,C_0402_1005Metric,smt
204.65,-136.48,180.0,bottom,C286,,,C_0402_1005Metric,C_0402_1005Metric,smt
74.17,-53.37,90.0,top,C3,,,C_0402_1005Metric,C_0402_1005Metric,smt
134.68,-59.62,90.0,top,C31,,,C_0603_1608Metric,C_0603_1608Metric,smt
138.25,-58.7,0.0,top,C32,,,C_1206_3216Metric,C_1206_3216Metric,smt
138.25,-60.95,0.0,top,C33,,,C_1206_3216Metric,C_1206_3216Metric,smt
101.54,-64.34,90.0,top,C35,,,C_0402_1005Metric,C_0402_1005Metric,smt
103.05,-65.69,90.0,top,C36,,,C_0402_1005Metric,C_0402_1005Metric,smt
167.38,-136.25,-90.0,bottom,C364,,,C_0603_1608Metric,C_0603_1608Metric,smt
104.14,-65.69,90.0,top,C37,,,C_0402_1005Metric,C_0402_1005Metric,smt
99.2,-69.38,90.0,top,C38,,,C_0402_1005Metric,C_0402_1005Metric,smt
105.42,-68.16,90.0,top,C38,,,C_0402_1005Metric,C_0402_1005Metric,smt
104.18,-70.72,90.0,top,C39,,,C_0402_1005Metric,C_0402_1005Metric,smt
213.12,-133.52,90.0,bottom,C395,,,R_0402_1005Metric,R_0402_1005Metric,smt
217.36,-133.4,180.0,bottom,C396,,,C_0805_2012Metric,C_0805_2012Metric,smt
80.43,-52.03,0.0,top,C4,,,C_0402_1005Metric,C_0402_1005Metric,smt
105.42,-70.72,90.0,top,C40,,,C_0402_1005Metric,C_0402_1005Metric,smt
74.51,-115.9,90.0,top,C402,,,C_0402_1005Metric,C_0402_1005Metric,smt
106.6,-70.72,90.0,top,C41,,,C_0402_1005Metric,C_0402_1005Metric,smt
109.97,-72.6,90.0,top,C42,,,C_1206_3216Metric,C_1206_3216Metric,smt
112.14,-72.6,90.0,top,C43,,,C_1206_3216Metric,C_1206_3216Metric,smt
114.9,-71.49,0.0,top,C44,,,C_0402_1005Metric,C_0402_1005Metric,smt
116.86,-66.88,90.0,top,C44,,,C_0603_1608Metric,C_0603_1608Metric,smt
115.15,-75.52,90.0,top,C45,,,C_1206_3216Metric,C_1206_3216Metric,smt
118.29,-75.36,0.0,top,C46,,,C_0805_2012Metric,C_0805_2012Metric,smt
122.57,-75.89,0.0,top,C47,,,C_0603_1608Metric,C_0603_1608Metric,smt
123.9,-74.5,0.0,top,C48,,,C_0402_1005Metric,DNP,smt
123.9,-73.54,0.0,top,C49,,,C_0402_1005Metric,C_0402_1005Metric,smt
112.07,-43.95,90.0,top,C5,,,C_0402_1005Metric,C_0402_1005Metric,smt
131.28,-73.54,0.0,top,C50,,,C_0402_1005Metric,C_0402_1005Metric,smt
118.58,-77.8,0.0,top,C50,,,R_0805_2012Metric,R_0805_2012Metric,smt
137.35,-74.3,0.0,top,C51,,,C_0402_1005Metric,C_0402_1005Metric,smt
140.32,-68.25,0.0,top,C52,,,C_0402_1005Metric,C_0402_1005Metric,smt
94.23,-74.53,90.0,top,C53,,,C_0402_1005Metric,C_0402_1005Metric,smt
95.53,-74.53,90.0,top,C54,,,C_0402_1005Metric,C_0402_1005Metric,smt
96.88,-74.02,90.0,top,C55,,,R_0402_1005Metric,R_0402_1005Metric,smt
