pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
91.8,-120.69,0.0,top,L40,,,L_0805_2012Metric,680nH,smt
91.75,-116.52,0.0,top,L41,,,L_0805_2012Metric,680nH,smt
91.75,-118.59,0.0,top,L42,,,L_0805_2012Metric,680nH,smt
191.01,-85.51,90.0,top,L43,,,L_0805_2012Metric,680nH,smt
194.82,-85.51,90.0,top,L44,,,L_0805_2012Metric,680nH,smt
197.62,-81.5,90.0,top,L45,,,L_0805_2012Metric,680nH,smt
187.08,-85.53,90.0,top,L46,,,L_0805_2012Metric,680nH,smt
189.01,-85.51,90.0,top,L47,,,L_0805_2012Metric,680nH,smt
192.9,-85.51,90.0,top,L48,,,L_0805_2012Metric,680nH,smt
185.14,-85.45,90.0,top,L49,,,L_0805_2012Metric,680nH,smt
116.01,-85.03,90.0,top,L5,,,L_0805_2012Metric,680nH,smt
183.18,-85.45,90.0,top,L50,,,L_0805_2012Metric,680nH,smt
152.51,-80.95,90.0,top,L51,,,L_0805_2012Metric,680nH,smt
149.08,-80.92,90.0,top,L52,,,L_0805_2012Metric,680nH,smt
147.26,-85.39,90.0,top,L53,,,L_0805_2012Metric,680nH,smt
145.33,-85.42,90.0,top,L54,,,L_0805_2012Metric,680nH,smt
143.34,-85.42,90.0,top,L55,,,L_0805_2012Metric,680nH,smt
139.29,-85.41,90.0,top,L56,,,L_0805_2012Metric,680nH,smt
135.31,-85.44,90.0,top,L57,,,L_0805_2012Metric,680nH,smt
131.34,-85.41,90.0,top,L58,,,L_0805_2012Metric,680nH,smt
127.24,-85.41,90.0,top,L59,,,L_0805_2012Metric,680nH,smt
114.02,-85.01,90.0,top,L6,,,L_0805_2012Metric,680nH,smt
129.26,-85.44,90.0,top,L60,,,L_0805_2012Metric,680nH,smt
137.27,-85.41,90.0,top,L61,,,L_0805_2012Metric,680nH,smt
141.33,-85.42,90.0,top,L62,,,L_0805_2012Metric,680nH,smt
166.52,-80.98,90.0,top,L63,,,L_0805_2012Metric,680nH,smt
163.05,-81.02,90.0,top,L64,,,L_0805_2012Metric,680nH,smt
133.36,-85.44,90.0,top,L65,,,L_0805_2012Metric,680nH,smt
156.03,-80.98,90.0,top,L66,,,L_0805_2012Metric,680nH,smt
159.48,-81.02,90.0,top,L67,,,L_0805_2012Metric,680nH,smt
91.37,-90.56,0.0,top,L68,,,EMI_Transformer,EMI_Transformer,smt
123.38,-119.61,90.0,top,Q1,,,TO-252-2,3P4J,smt
137.57,-125.14,180.0,top,Q2,,,SOT-323_SC-70,8C,smt
115.97,-89.1,90.0,top,R1,,,R_0805_2012Metric,33,smt
145.65,-92.01,90.0,top,R10,,,R_0603_1608Metric,DNP,smt
144.11,-92.01,90.0,top,R11,,,R_0603_1608Metric,DNP,smt
152.61,-83.59,0.0,top,R12,,,R_0603_1608Metric,10,smt
141.95,-89.49,90.0,top,R13,,,R_0603_1608Metric,10,smt
138.94,-89.49,90.0,top,R14,,,R_0603_1608Metric,10,smt
132.9,-89.49,90.0,top,R15,,,R_0603_1608Metric,10,smt
126.97,-89.49,90.0,top,R16,,,R_0603_1608Metric,10,smt
134.41,-89.46,90.0,top,R17,,,R_0603_1608Metric,10,smt
167.21,-83.71,0.0,top,R18,,,R_0603_1608Metric,10,smt
131.43,-89.49,90.0,top,R19,,,R_0603_1608Metric,10,smt
113.67,-89.07,90.0,top,R2,,,R_0805_2012Metric,33,smt
159.99,-83.63,0.0,top,R20,,,R_0603_1608Metric,10,smt
149.77,-83.69,0.0,top,R21,,,R_0603_1608Metric,10,smt
140.41,-89.49,90.0,top,R22,,,R_0603_1608Metric,10,smt
135.92,-89.46,90.0,top,R23,,,R_0603_1608Metric,10,smt
129.95,-89.49,90.0,top,R24,,,R_0603_1608Metric,10,smt
128.44,-89.52,90.0,top,R25,,,R_0603_1608Metric,10,smt
137.49,-89.46,90.0,top,R26,,,R_0603_1608Metric,10,smt
163.6,-83.66,0.0,top,R27,,,R_0603_1608Metric,10,smt
156.31,-83.6,0.0,top,R28,,,R_0603_1608Metric,10,smt
160.09,-101.51,0.0,top,R29,,,R_0603_1608Metric,DNP,smt
